grammar-name	direct-children	direct-parents
context-capability-path	context-capability-path-token	context-capability-scope
context-capability-path-token	alpha-token|asterisk|dash|digit-token|period|slash|underscore	context-capability-path
context-capability-scope	asterisk|context-capability-path	context-capability-declaration
context-declaration	at|context-base-context|context-base-resource-uri|context-capability-declaration|define-operator|identifier|left-brace|list-separator|right-brace|whitespace0	statement
context-import-alias-segment	alpha-token|dash|digit-token	module-import-context-alias
context-send	expression|send-operator|var	statement
cross	none	false-literal
cross-product	ws0e	matrix-operator
dash	none	center-alignment|checked-item|complex-number|context-address-path-token|context-base-resource-uri|context-capability-path-token|context-import-alias-segment|grammar-identifier|identifier-path-segment|identifier-symbol|left-alignment|negate-factor|no-alignment|raw-subtract|real-number|right-alignment|scientific-literal|source-path-component-token|symbol|table-horz|ul-subtitle|unchecked-item|unordered-list-item|untyped-real-number|uri-scheme-part
decimal-literal	digit-sequence	real-number|untyped-real-number
define-operator	whitespace0	context-declaration|enum-define|fsm-declare|fsm-specification|function-define-statements|grammar-rule|invariant-define|kind-define|op-assign|paragraph-text|tuple-destructure|variable-assign|variable-define
difference	ws0e	set-operator
digit	none	digit-token|subtitle
digit-sequence	digit-token|underscore-digit	binary-literal|decimal-literal|float-decimal-start|float-full|octal-literal|typed-integer|untyped-integer
digit-token	digit	alphanumeric|context-address-path-token|context-base-resource-uri|context-capability-path-token|context-import-alias-segment|digit-sequence|grammar-identifier|hexadecimal-literal|identifier|identifier-path-segment|raw-text|source-path-component-token|text|ul-subtitle|underscore-digit|uri-scheme-part
div-assign-operator	whitespace0	op-assign-operator
divide	comment-sigil|slash|ws0e	mul-div-operator
docs-rpl	none	parse-repl-command
dollar	none	identifier-symbol|symbol
dot-product	ws0e	matrix-operator
dot-subscript	identifier|period	subscript
dot-subscript-int	integer-literal|period	subscript
element-of	ws0e	set-operator
emoji	emoji-grapheme|forbidden-emoji	identifier|identifier-path-segment-emoji|raw-text|text|unordered-list-item
emoji-grapheme	none	emoji
emphasis	emphasis-sigil|paragraph-element	paragraph-element
emphasis-sigil	none	emphasis
empty	underscore	empty-set|literal
empty-map	colon|left-brace|right-brace|whitespace0	structure
empty-paragraph	none	mechdown-table-row
empty-set	empty|left-brace|right-brace|whitespace0	structure
english-false-literal	none	false-literal
english-true-literal	none	true-literal
enum-define	define-operator|enum-separator|enum-variant|identifier|left-angle|right-angle	statement
enum-separator	bar|whitespace0	enum-define|pattern-array-token
enum-variant	colon|enum-variant-inline-kind|enum-variant-kind|grave|identifier	enum-define
enum-variant-inline-kind	kind-annotation	enum-variant
enum-variant-kind	kind-annotation|left-parenthesis|right-parenthesis	enum-variant
equal	none	function-define-statements|identifier-path-segment-emoji|import-alias-operator|symbol|title|title-front-matter
equal-to	ws0e	comparison-operator
equation	backslash|equation-sigil|text	section-element
equation-sigil	none	equation|inline-equation|paragraph-text
error-alt-sigil	none	error-block
error-block	error-alt-sigil|error-sigil|float-sigil|paragraph-newline|space-tab0	not-mech-code|section-element
error-sigil	none	error-block|subtitle
escaped-char	alpha-token|backslash|punctuation|symbol	text
eval-inline-mech-code	expression|left-brace|right-brace|whitespace0	paragraph-element
exclamation	none	invariant-define|not|punctuation
exp-assign-operator	whitespace0	op-assign-operator
export-declaration	identifier|module-export-sigil|whitespace0|whitespace1	statement
expression	formula|fsm-pipe|match-arm|matrix-comprehension|period|question|range-expression|set-comprehension|whitespace0	activation-arm|activation-scope|binding|call-arg|call-arg-with-binding|comprehension-qualifier|context-send|eval-inline-mech-code|function-match-arm|generator|inline-table-row|invariant-define|mapping|match-arm|matrix-column|matrix-comprehension|mech-code-alt|op-assign|pattern|set|set-comprehension|table-column|table-row|table-row2|tuple|tuple-destructure|tuple-struct|variable-assign|variable-define
factor	function-call|literal|matrix-comprehension|negate-factor|not-factor|parenthetical-term|slice|structure|transpose|var	l7|match-expression|negate-factor|not-factor
false-literal	cross|english-false-literal	boolean
fancy-table	fancy-table-header|new-line|row-separator|table-row2|table-separator|table-top	table
fancy-table-header	field|table-separator|whitespace0	fancy-table
field	identifier|kind-annotation	fancy-table-header
figure-item	img	figures-row
figures	figures-row	section-element|title-front-matter
figures-row	bar|figure-item|space-tab0|whitespace0	figures
float	float-sigil|section-element|space-tab0	not-mech-code|section-element
float-decimal-start	digit-sequence|period	float-literal
float-full	digit-sequence|period	float-literal
float-left	none	float-sigil
float-literal	float-decimal-start|float-full	real-number|scientific-literal|untyped-real-number
float-right	none	float-sigil
float-sigil	float-left|float-right	error-block|float|quote-block|success-block|warning-block
footnote	colon|footnote-prefix|paragraph-newline|right-bracket|text|whitespace0	section-element
footnote-prefix	none	footnote|footnote-reference|paragraph-text
footnote-reference	footnote-prefix|right-bracket|text	paragraph-element
forbidden-emoji	box-drawing-emoji|left-angle2|mika-section-close|mika-section-open|nbsp|right-angle2|thin-space	emoji|raw-text|text
formula	l1	expression|formula-subscript|parenthetical-term|range-expression
formula-subscript	formula	brace-subscript|bracket-subscript
fsm	argument-list|hashtag|identifier|kind-annotation	fsm-declare
fsm-args	call-arg|call-arg-with-binding|left-parenthesis|list-separator|right-parenthesis	fsm-instance
fsm-arm	fsm-comment-arm|fsm-guard-arm|fsm-transition|whitespace0	fsm-implementation
fsm-async-transition	async-transition-operator|fsm-value	fsm-guard|fsm-pipe|fsm-transition
fsm-block-transition	code-terminal|left-brace|mech-code-alt|right-brace|transition-operator|whitespace0	fsm-guard|fsm-transition
fsm-comment-arm	comment	fsm-arm
fsm-declare	define-operator|fsm|fsm-pipe	statement
fsm-guard	fsm-async-transition|fsm-block-transition|fsm-output|fsm-state-transition|fsm-statement-transition|guard-operator|pattern	fsm-guard-arm
fsm-guard-arm	fsm-guard|pattern	fsm-arm
fsm-implementation	fsm-arm|fsm-value|hashtag|identifier|left-parenthesis|list-separator|period|right-parenthesis|transition-operator|var|whitespace0	mech-code-alt
fsm-instance	fsm-args|hashtag|identifier	fsm-pipe
fsm-output	fsm-value|output-operator	fsm-guard|fsm-pipe|fsm-transition
fsm-pipe	fsm-async-transition|fsm-instance|fsm-output|fsm-state-transition	expression|fsm-declare
fsm-specification	define-operator|fsm-state-definition|hashtag|identifier|kind-annotation|left-parenthesis|list-separator|output-operator|period|right-parenthesis|var	mech-code-alt
fsm-state-definition	atom|fsm-state-definition-variables|guard-operator|whitespace0	fsm-specification
fsm-state-definition-variables	left-parenthesis|list-separator|right-parenthesis|var	fsm-state-definition
fsm-state-transition	fsm-value|transition-operator	fsm-guard|fsm-pipe|fsm-transition
fsm-statement-transition	statement|transition-operator	fsm-guard|fsm-transition
fsm-transition	fsm-async-transition|fsm-block-transition|fsm-output|fsm-state-transition|fsm-statement-transition|pattern	fsm-arm
fsm-value	pattern	fsm-async-transition|fsm-implementation|fsm-output|fsm-state-transition
