grammar-name	direct-children	direct-parents
pattern-array	left-bracket|list-separator|pattern-array-token|right-bracket|whitespace0	pattern
pattern-array-item	pattern	pattern-array-token
pattern-array-token	enum-separator|pattern-array-item|spread-operator	pattern-array
pattern-atom-struct	colon|identifier|left-parenthesis|list-separator|pattern|right-parenthesis|whitespace0	pattern
pattern-tuple	left-parenthesis|list-separator|pattern|right-parenthesis|whitespace0	pattern
pattern-tuple-struct	grave|identifier|left-parenthesis|list-separator|pattern|right-parenthesis|whitespace0	pattern
percent	none	identifier-symbol|modulus|symbol
period	none	activation-scope|context-address-path-token|context-base-resource-uri|context-capability-path-token|dot-subscript|dot-subscript-int|expression|float-decimal-start|float-full|fsm-implementation|fsm-specification|function-define-match-arms|function-define-statements|grammar-range|match-expression|ordered-list-item|punctuation|relative-source-import-specifier|section-reference|source-path-component-token|subtitle|swizzle-subscript|ul-subtitle|uri-scheme-part
plan-rpl	none	parse-repl-command
plus	none	add|complex-number|grammar-repeat1|identifier-symbol|scientific-literal|symbol|uri-scheme-part
power	caret|ws0e	power-operator
power-operator	power	l5
prefixed-context-path	at|context-address-path|identifier-path-segment|slash	slice|slice-ref|var
profile-rpl	none	parse-repl-command
program	body|title|whitespace0	parse-mech
prompt	prompt-sigil|section-element|space-tab0	section-element
prompt-sigil	none	prompt|quote-block
proper-subset	ws0e	set-operator
proper-superset	ws0e	set-operator
punctuation	apostrophe|colon|comma|exclamation|period|question|quote|semicolon	escaped-char|raw-text|text
question	none	expression|grammar-optional|kind-with-option|match-expression|punctuation
question-block	paragraph-newline|question-sigil|space-tab0	not-mech-code|section-element
question-sigil	none	question-block
quit-rpl	none	parse-repl-command
quote	none	grammar-terminal-token|punctuation|raw-string|utf8-string
quote-block	float-sigil|paragraph-newline|prompt-sigil|quote-sigil|space-tab0	section-element
quote-sigil	none	quote-block
range-exclusive	none	range-operator
range-expression	formula|range-operator	expression|kind-scalar|range-subscript
range-inclusive	none	range-operator
range-operator	range-exclusive|range-inclusive	range-expression
range-subscript	range-expression	brace-subscript|bracket-subscript
rational-literal	integer-literal|slash	real-number|untyped-real-number
raw-hyperlink	http-prefix|space|text	paragraph-element
raw-string	new-line|quote|raw-text	string
raw-subtract	comment-sigil|dash	spaced-subtract|subtract
raw-text	alpha-token|digit-token|emoji|forbidden-emoji|grouping-symbol|punctuation|space|symbol|tab	raw-string
real-number	binary-literal|dash|decimal-literal|float-literal|hexadecimal-literal|integer-literal|octal-literal|rational-literal|scientific-literal	number
record	binding|table-end|table-start|whitespace0	structure
reference	alphanumeric|left-bracket|right-bracket	paragraph-element
regular-table	table-header|table-row|table-separator|whitespace0	table
relative-source-import-specifier	period|slash|source-mec-path|source-mec-path-wildcard-suffix	source-import-specifier
repl-identifier	none	whos-rpl
right-alignment	colon|dash	alignment-separator
right-angle	right-angle1|right-angle2	enum-define|grammar-peek|grouping-symbol|kind-annotation|kind-define|kind-kind
right-angle1	none	greater-than|right-angle
right-angle2	none	forbidden-emoji|right-angle
right-brace	none	activation-arm|activation-scope|brace-subscript|code-terminal|context-declaration|empty-map|empty-set|eval-inline-mech-code|fsm-block-transition|grouping-symbol|identifier-path-segment-emoji|inline-mech-code|kind-map|kind-record|kind-set|map|module-suffix-import|option-map|set|set-comprehension|table-end
right-bracket	none	bracket-subscript|checked-item|citation|footnote|footnote-reference|grammar-list|grouping-symbol|hyperlink|img|kind-matrix|matrix-comprehension|matrix-end|paragraph-text|pattern-array|reference|unchecked-item
right-join	ws0e	table-operator
right-parenthesis	none	argument-list|context-capability-declaration|enum-variant-kind|fsm-args|fsm-implementation|fsm-specification|fsm-state-definition-variables|function-define|function-out-args|grammar-group|grouping-symbol|hyperlink|img|kind-tuple|mini-mika|parenthetical-term|pattern-atom-struct|pattern-tuple|pattern-tuple-struct|subtitle|tuple|tuple-destructure|tuple-struct|unordered-list-item
row-separator	box-drawing-char|space-tab|space-tab0|table-end	fancy-table
save-rpl	none	parse-repl-command
scientific-literal	dash|float-literal|integer-literal|plus	real-number|untyped-real-number
section	blank-line|mech-code|mika|section-element|ul-subtitle	body|mika-section
section-element	abstract-el|citation|code-block|equation|error-block|figures|float|footnote|idea-block|img|info-block|mechdown-list|mechdown-table|paragraph|prompt|question-block|quote-block|subtitle|success-block|thematic-break|warning-block	float|prompt|section
section-reference	alphanumeric|period|section-sigil	paragraph-element
section-sigil	none	paragraph-text|section-reference
select-all	colon	brace-subscript|bracket-subscript
semicolon	none	code-terminal|grammar-rule|matrix-row|punctuation|source-import-tail|statement-separator
send-operator	whitespace0	context-send
set	expression|left-brace|list-separator|right-brace|whitespace0|whitespace1	structure
set-comprehension	bar|comprehension-qualifier|expression|left-brace|list-separator|right-brace|space-tab0	expression
set-operator	complement|difference|element-of|intersection|not-element-of|proper-subset|proper-superset|subset|superset|symmetric-difference|union-op	l7
slash	none	absolute-source-import-specifier|aliased-item-import|context-address-path-token|context-base-resource-uri|context-capability-path-token|divide|identifier-path-segment-emoji|identifier-symbol|module-import-alias-path|module-import-context-alias|module-import-path|module-suffix-import|prefixed-context-path|rational-literal|relative-source-import-specifier|source-mec-path|source-mec-path-wildcard-suffix|symbol
slice	identifier|prefixed-context-path|subscript	factor
slice-ref	identifier|prefixed-context-path|subscript	op-assign|variable-assign
source-import-specifier	absolute-source-import-specifier|bare-source-import-specifier|relative-source-import-specifier|uri-source-import-specifier	import-declaration
source-import-tail	any-token|new-line|semicolon	uri-source-import-specifier
source-import-uri-scheme	alpha-token|uri-scheme-part	uri-source-import-specifier
source-mec-path	slash|source-path-component	absolute-source-import-specifier|bare-source-import-specifier|relative-source-import-specifier
source-mec-path-wildcard-suffix	asterisk|slash	absolute-source-import-specifier|bare-source-import-specifier|relative-source-import-specifier
source-path-component	source-path-component-token	source-mec-path
source-path-component-token	alpha-token|dash|digit-token|period|underscore	source-path-component
space	none	identifier-path-segment-emoji|raw-hyperlink|raw-text|space-tab|text|unordered-list-item|whitespace
space-tab	nbsp|space|tab|thin-space	comment|newline-indent|row-separator|space-tab0|space-tab1|ws0e|ws1e
space-tab0	space-tab	abstract-el|alignment-separator|blank-line|code-block|code-terminal|error-block|figures-row|float|generator|idea-block|import-alias-operator|info-block|inline-table|inline-table-header|inline-table-row|matrix-column|matrix-comprehension|matrix-row|mechdown-table-header|mechdown-table-row|module-import|parenthetical-term|prompt|question-block|quote-block|row-separator|set-comprehension|subtitle|success-block|table-column|table-header|table-row|table-row2|table-separator|thematic-break|title-front-matter|ul-subtitle|warning-block
space-tab1	space-tab	import-declaration|inline-table-header|kind-table|mechdown-table-row|table-header|table-row
spaced-subtract	raw-subtract|ws1e	subtract
spread-operator	spread-operator-a|spread-operator-u	pattern-array-token
spread-operator-a	whitespace0	spread-operator
spread-operator-u	whitespace0	spread-operator
statement	context-declaration|context-send|enum-define|export-declaration|fsm-declare|import-declaration|invariant-define|kind-define|op-assign|tuple-destructure|variable-assign|variable-define	fsm-statement-transition|function-define-statements|mech-code-alt
statement-separator	semicolon|whitespace0	activation-arm|function-define-match-arms|function-define-statements|function-match-arm|match-arm
step-rpl	hashtag	parse-repl-command
strict-equal	ws0e	comparison-operator
strict-not-equal	ws0e	comparison-operator
strike-sigil	none	none
strikethrough	paragraph-element|tilde	paragraph-element
string	raw-string|utf8-string	literal|option-value
strong	paragraph-element|strong-sigil	paragraph-element
strong-sigil	none	strong
structure	empty-map|empty-set|map|matrix|record|set|table|tuple|tuple-struct	factor
sub-assign-operator	whitespace0	op-assign-operator
sublist	check-list|ordered-list|unordered-list	check-list|ordered-list|unordered-list
subscript	brace-subscript|bracket-subscript|dot-subscript|dot-subscript-int|swizzle-subscript	slice|slice-ref
subset	ws0e	set-operator
subtitle	alpha|digit|error-sigil|info-sigil|left-parenthesis|paragraph-newline|period|right-parenthesis|space-tab0|whitespace0	section-element
subtract	raw-subtract|spaced-subtract	add-sub-operator
success-block	float-sigil|paragraph-newline|space-tab0|success-check-sigil|success-sigil	not-mech-code|section-element
success-check-sigil	none	success-block
success-sigil	none	success-block
superset	ws0e	set-operator
swizzle-subscript	comma|identifier|period	subscript
symbol	ampersand|asterisk|at|backslash|bar|caret|dash|dollar|equal|grave|hashtag|percent|plus|slash|tilde|underscore	escaped-char|raw-text|text
symbols-rpl	none	parse-repl-command
symmetric-difference	ws1e	set-operator
synth-operator	whitespace0	none
tab	none	identifier-path-segment-emoji|raw-text|space-tab|text|whitespace
table	fancy-table|inline-table|regular-table	structure
table-column	comma|expression|space-tab0|table-separator	none
table-end	box-br|box-br-bold|box-br-round|right-brace|table-separator	record|row-separator
table-header	header-field|space-tab0|space-tab1|table-separator|whitespace0	regular-table
table-horz	box-horz|dash	none
table-operator	full-join|join|left-anti-join|left-join|left-semi-join|right-join	l6
table-row	expression|space-tab0|space-tab1|table-separator	regular-table
table-row2	expression|space-tab0|table-separator	fancy-table
table-separator	bar|box-vert|box-vert-bold|space-tab0	fancy-table|fancy-table-header|inline-table|inline-table-header|inline-table-row|matrix-row|regular-table|table-column|table-end|table-header|table-row|table-row2|table-start
table-start	box-tl|box-tl-bold|box-tl-round|left-brace|table-separator	record|table-top
table-top	box-drawing-char|new-line|table-start	fancy-table
tag	none	none
text	alpha-token|digit-token|emoji|escaped-char|forbidden-emoji|grouping-symbol|punctuation|space|symbol|tab	code-block|equation|footnote|footnote-reference|hyperlink|img|inline-code|inline-equation|paragraph-text|raw-hyperlink|title|utf8-string
thematic-break	asterisk|new-line|space-tab0	section-element
thin-space	none	forbidden-emoji|space-tab
tilde	none	identifier-symbol|paragraph-text|strikethrough|symbol|variable-define
tilde-codeblock-sigil	none	codeblock-sigil
title	equal|new-line|text|title-front-matter|whitespace0	program
title-front-matter	colon|equal|figures|identifier|img|inline-paragraph|new-line|space-tab0|whitespace0	title
transition-operator	transition-operator-a|transition-operator-u	fsm-block-transition|fsm-implementation|fsm-state-transition|fsm-statement-transition
transition-operator-a	whitespace0	transition-operator
transition-operator-u	whitespace0	transition-operator
transpose	apostrophe	factor
true-literal	check-mark|english-true-literal	boolean
tuple	expression|left-parenthesis|list-separator|right-parenthesis|whitespace0	structure
tuple-destructure	define-operator|expression|identifier|left-parenthesis|list-separator|right-parenthesis	statement
tuple-struct	colon|expression|identifier|left-parenthesis|right-parenthesis|whitespace0	structure
typed-integer	digit-sequence|identifier	integer-literal
ul-subtitle	alpha-token|dash|digit-token|new-line|paragraph-newline|period|space-tab0|whitespace0	section
unchecked-item	dash|left-bracket|paragraph-newline|right-bracket|whitespace0	check-list-item
underline	paragraph-element|underscore	paragraph-element
underline-sigil	none	none
underscore	none	context-address-path-token|context-base-resource-uri|context-capability-path-token|empty|hexadecimal-literal|identifier-path-segment-emoji|kind-empty|module-import-intrinsic-segment|paragraph-text|source-path-component-token|symbol|underline|underscore-digit
underscore-digit	digit-token|underscore	digit-sequence
union-op	ws0e	set-operator
unordered-list	sublist|unordered-list-item	mechdown-list|sublist
unordered-list-item	dash|emoji|left-parenthesis|new-line|paragraph-newline|right-parenthesis|space	unordered-list
untyped-integer	digit-sequence	integer-literal|untyped-real-number
untyped-real-number	binary-literal|dash|decimal-literal|float-literal|hexadecimal-literal|octal-literal|rational-literal|scientific-literal|untyped-integer	complex-number
uri-scheme-part	alpha-token|dash|digit-token|period|plus	source-import-uri-scheme
uri-source-import-specifier	source-import-tail|source-import-uri-scheme	source-import-specifier
utf8-string	new-line|quote|text	string
var	identifier|kind-annotation|prefixed-context-path	context-send|factor|fsm-implementation|fsm-specification|fsm-state-definition-variables|variable-define
variable-assign	assign-operator|define-operator|expression|slice-ref	statement
variable-define	assign-operator|define-operator|expression|tilde|var	comprehension-qualifier|statement
warning-block	float-sigil|paragraph-newline|space-tab0|warning-sigil	not-mech-code|section-element
warning-sigil	none	warning-block
whitespace	new-line|space|tab	matrix|whitespace0|whitespace1
whitespace0	whitespace	activation-arm|activation-scope|add-assign-operator|assign-operator|async-transition-operator|binding|body|call-arg-with-binding|citation|code-block|code-terminal|context-declaration|define-operator|div-assign-operator|empty-map|empty-set|enum-separator|eval-inline-mech-code|exp-assign-operator|export-declaration|expression|fancy-table-header|figures-row|footnote|fsm-arm|fsm-block-transition|fsm-implementation|fsm-state-definition|function-define|function-define-match-arms|function-define-statements|function-match-arm|gen-operator|generator-arrow|generator-arrow-u|guard-operator|import-declaration|import-group-items|inline-mech-code|kind-record|list-separator|map|mapping|match-arm|match-expression|matrix|mech-code-alt|mechdown-table|mechdown-table-header|mechdown-table-row|mika|module-import|mul-assign-operator|option-map|option-mapping|output-operator-a|output-operator-u|pattern-array|pattern-atom-struct|pattern-tuple|pattern-tuple-struct|program|record|regular-table|send-operator|set|spread-operator-a|spread-operator-u|statement-separator|sub-assign-operator|subtitle|synth-operator|table-header|title|title-front-matter|transition-operator-a|transition-operator-u|tuple|tuple-struct|ul-subtitle|unchecked-item
whitespace1	whitespace	activation-arm|export-declaration|function-define-match-arms|function-define-statements|function-match-arm|import-group-separator|kind-record|match-arm|set
whos-rpl	repl-identifier	parse-repl-command
wildcard	asterisk	pattern
ws0e	space-tab	add|and|complement|cross-product|difference|divide|dot-product|element-of|equal-to|full-join|greater-than|greater-than-equal|intersection|join|left-anti-join|left-join|left-semi-join|less-than|less-than-equal|matrix-multiply|matrix-solve|modulus|multiply|not-element-of|not-equal|or|power|proper-subset|proper-superset|right-join|strict-equal|strict-not-equal|subset|superset|union-op|xor
ws1e	space-tab	spaced-subtract|symmetric-difference
xor	ws0e	logic-operator
